Model,Log-Likelihood,AIC,BIC
"GJR-GARCH(1,1)-skewt-AR1",-8588.332944050424,17192.665888100848,17246.80701271891
"GJR-GARCH(1,1)-skewt-Constant",-8598.265445768073,17210.530891536146,17257.905465325533
"GJR-GARCH(1,1)-t-AR1",-8636.864874158113,17287.729748316226,17335.10323235703
"GJR-GARCH(1,1)-t-Constant",-8643.030374125608,17298.060748251217,17338.667525784975
"GARCH(1,1)-skewt-AR1",-8709.947060475157,17433.894120950314,17481.267604991117
"EGARCH(1,1)-skewt-AR1",-8721.5805240447,17457.1610480894,17504.534532130205
"GARCH(1,1)-skewt-Constant",-8722.928901073665,17457.85780214733,17498.464579681087
"EGARCH(1,1)-skewt-Constant",-8734.60497160083,17481.20994320166,17521.816720735416
"GARCH(1,1)-t-AR1",-8742.721851274748,17497.443702549495,17538.04954601304
"GARCH(1,1)-t-Constant",-8750.283537566156,17510.567075132312,17544.406056410444
"EGARCH(1,1)-t-AR1",-8752.957325711592,17517.914651423183,17558.52049488673
"EGARCH(1,1)-t-Constant",-8760.53724801726,17531.07449603452,17564.91347731265
